seed,naive_24,naive_24_rollouts_per_gen,naive_48,naive_48_rollouts_per_gen,guarded_24,guarded_24_rollouts_per_gen
1,0.0,96,0.0,192,0.005555555555555556,162
2,0.03333333333333333,96,0.0,192,0.18333333333333335,191
3,0.0,96,0.07222222222222223,192,0.0,185
4,0.016666666666666666,96,0.022222222222222223,192,0.12222222222222223,189
5,0.0,96,0.1888888888888889,192,0.18888888888888888,182
6,0.0,96,0.07777777777777778,192,0.016666666666666666,184
7,0.0,96,0.0,192,0.10555555555555556,182
8,0.0,96,0.0,192,0.1777777777777778,166
9,0.011111111111111112,96,0.0,192,0.06111111111111111,161
10,0.0,96,0.0,192,0.2611111111111111,176
11,0.0,96,0.0,192,0.016666666666666666,154
12,0.33888888888888885,96,0.2777777777777778,192,0.044444444444444446,184
13,0.005555555555555556,96,0.011111111111111112,192,0.1111111111111111,173
14,0.0,96,0.0,192,0.5222222222222223,193
15,0.12777777777777777,96,0.044444444444444446,192,0.1388888888888889,181
16,0.005555555555555556,96,0.0,192,0.15555555555555556,173
17,0.0,96,0.0,192,0.011111111111111112,172
18,0.044444444444444446,96,0.15555555555555556,192,0.10555555555555556,169
19,0.0,96,0.1611111111111111,192,0.13888888888888887,184
20,0.0,96,0.09999999999999999,192,0.022222222222222223,157
21,0.0,96,0.0,192,0.17777777777777778,183
22,0.0,96,0.12222222222222222,192,0.17777777777777778,174
23,0.05555555555555555,96,0.3666666666666667,192,0.022222222222222223,178
24,0.0,96,0.0,192,0.011111111111111112,181
25,0.022222222222222223,96,0.005555555555555556,192,0.19999999999999998,177
26,0.0,96,0.08888888888888889,192,0.0,180
27,0.0,96,0.0,192,0.0,179
28,0.0,96,0.005555555555555556,192,0.21666666666666667,182
29,0.0,96,0.0,192,0.3111111111111111,190
30,0.0,96,0.0,192,0.5388888888888889,182
